,rep,EncounterID,TrueEnc,Pelagic,MHI,CorrectDW
test_pel,1,P4,4,Pelagic,Ambiguous,90
test_mhi,1,M2,31,Ambiguous,MHI,95
test_pel1,2,P5,5,Pelagic,Ambiguous,91
test_mhi1,2,M2,31,Ambiguous,MHI,116
test_pel2,3,P2,3,Pelagic,Ambiguous,111
test_mhi2,3,M2,31,Ambiguous,Ambiguous,88
test_pel3,4,P3,6,Ambiguous,Ambiguous,59
test_mhi3,4,M1,34,MHI,Ambiguous,79
test_pel4,5,P7,8,Ambiguous,Ambiguous,61
test_mhi4,5,M2,31,Ambiguous,MHI,105
test_pel5,6,P1,2,Pelagic,Ambiguous,100
test_mhi5,6,M1,34,Ambiguous,MHI,91
test_pel6,7,P7,8,Ambiguous,Ambiguous,55
test_mhi6,7,M4,33,MHI,MHI,118
test_pel7,8,P7,8,Ambiguous,Ambiguous,52
test_mhi7,8,M2,31,MHI,MHI,108
test_pel8,9,P7,8,Ambiguous,Ambiguous,64
test_mhi8,9,M1,34,Ambiguous,Ambiguous,73
test_pel9,10,P8,7,Ambiguous,Ambiguous,57
test_mhi9,10,M1,34,MHI,Ambiguous,88
test_pel10,11,P8,7,Ambiguous,Ambiguous,66
test_mhi10,11,M2,31,Ambiguous,MHI,119
test_pel11,12,P6,1,Pelagic,Ambiguous,101
test_mhi11,12,M2,31,Ambiguous,MHI,105
test_pel12,13,P6,1,Pelagic,Ambiguous,100
test_mhi12,13,M1,34,Ambiguous,Ambiguous,77
test_pel13,14,P5,5,Pelagic,Ambiguous,112
test_mhi13,14,M3,32,Ambiguous,MHI,95
test_pel14,15,P3,6,Ambiguous,Ambiguous,63
test_mhi14,15,M2,31,Ambiguous,MHI,109
test_pel15,16,P8,7,Ambiguous,Ambiguous,82
test_mhi15,16,M1,34,Ambiguous,Ambiguous,81
test_pel16,17,P4,4,Ambiguous,Ambiguous,86
test_mhi16,17,M3,32,Ambiguous,MHI,105
test_pel17,18,P5,5,Pelagic,Ambiguous,104
test_mhi17,18,M2,31,Ambiguous,MHI,115
test_pel18,19,P7,8,Ambiguous,Ambiguous,56
test_mhi18,19,M4,33,MHI,MHI,113
test_pel19,20,P3,6,Ambiguous,Ambiguous,59
test_mhi19,20,M4,33,MHI,MHI,113
test_pel20,21,P6,1,Pelagic,Ambiguous,101
test_mhi20,21,M3,32,Ambiguous,MHI,103
test_pel21,22,P4,4,Pelagic,Ambiguous,93
test_mhi21,22,M4,33,Ambiguous,MHI,110
test_pel22,23,P4,4,Ambiguous,Ambiguous,86
test_mhi22,23,M2,31,Ambiguous,MHI,99
test_pel23,24,P7,8,Ambiguous,Ambiguous,55
test_mhi23,24,M1,34,MHI,Ambiguous,89
test_pel24,25,P4,4,Ambiguous,Ambiguous,83
test_mhi24,25,M4,33,Ambiguous,MHI,116
test_pel25,26,P2,3,Ambiguous,Ambiguous,86
test_mhi25,26,M4,33,Ambiguous,MHI,118
test_pel26,27,P7,8,Ambiguous,Ambiguous,61
test_mhi26,27,M2,31,Ambiguous,MHI,113
test_pel27,28,P2,3,Pelagic,Ambiguous,102
test_mhi27,28,M3,32,Ambiguous,MHI,91
test_pel28,29,P6,1,Pelagic,Ambiguous,92
test_mhi28,29,M4,33,Ambiguous,MHI,105
test_pel29,30,P3,6,Ambiguous,Ambiguous,64
test_mhi29,30,M3,32,Ambiguous,MHI,104
test_pel30,31,P3,6,Pelagic,Ambiguous,97
test_mhi30,31,M1,34,Ambiguous,MHI,90
test_pel31,32,P8,7,Ambiguous,Ambiguous,84
test_mhi31,32,M4,33,Ambiguous,MHI,114
test_pel32,33,P4,4,Pelagic,Ambiguous,91
test_mhi32,33,M1,34,Ambiguous,MHI,91
test_pel33,34,P8,7,Ambiguous,Ambiguous,86
test_mhi33,34,M1,34,Ambiguous,Ambiguous,73
test_pel34,35,P5,5,Pelagic,Ambiguous,101
test_mhi34,35,M1,34,Ambiguous,Ambiguous,83
test_pel35,36,P5,5,Pelagic,Ambiguous,105
test_mhi35,36,M2,31,Ambiguous,Ambiguous,89
test_pel36,37,P5,5,Pelagic,Ambiguous,90
test_mhi36,37,M4,33,Ambiguous,MHI,126
test_pel37,38,P4,4,Ambiguous,Ambiguous,88
test_mhi37,38,M2,31,Ambiguous,MHI,105
test_pel38,39,P6,1,Pelagic,Ambiguous,98
test_mhi38,39,M4,33,Ambiguous,MHI,119
test_pel39,40,P8,7,Pelagic,Ambiguous,97
test_mhi39,40,M2,31,Ambiguous,MHI,110
test_pel40,41,P6,1,Pelagic,Ambiguous,101
test_mhi40,41,M3,32,Ambiguous,MHI,97
test_pel41,42,P1,2,Pelagic,Ambiguous,111
test_mhi41,42,M1,34,Ambiguous,Ambiguous,74
test_pel42,43,P4,4,Pelagic,Ambiguous,97
test_mhi42,43,M2,31,Ambiguous,MHI,94
test_pel43,44,P3,6,Ambiguous,Ambiguous,70
test_mhi43,44,M1,34,Ambiguous,Ambiguous,79
test_pel44,45,P3,6,Ambiguous,Ambiguous,72
test_mhi44,45,M3,32,Ambiguous,MHI,95
test_pel45,46,P8,7,Ambiguous,Ambiguous,75
test_mhi45,46,M1,34,Ambiguous,Ambiguous,65
test_pel46,47,P5,5,Pelagic,Ambiguous,112
test_mhi46,47,M3,32,Ambiguous,MHI,95
test_pel47,48,P1,2,Pelagic,Ambiguous,98
test_mhi47,48,M1,34,Ambiguous,Ambiguous,84
test_pel48,49,P1,2,Pelagic,Ambiguous,91
test_mhi48,49,M3,32,Ambiguous,MHI,103
test_pel49,50,P3,6,Ambiguous,Ambiguous,80
test_mhi49,50,M4,33,Ambiguous,MHI,113
test_pel50,51,P5,5,Pelagic,Ambiguous,104
test_mhi50,51,M2,31,Ambiguous,Ambiguous,89
test_pel51,52,P1,2,Pelagic,Ambiguous,102
test_mhi51,52,M1,34,Ambiguous,Ambiguous,82
test_pel52,53,P5,5,Pelagic,Ambiguous,97
test_mhi52,53,M2,31,Ambiguous,MHI,112
test_pel53,54,P6,1,Pelagic,Ambiguous,107
test_mhi53,54,M2,31,Ambiguous,Ambiguous,83
test_pel54,55,P6,1,Pelagic,Ambiguous,91
test_mhi54,55,M4,33,Ambiguous,MHI,121
test_pel55,56,P1,2,Pelagic,Ambiguous,95
test_mhi55,56,M4,33,Ambiguous,MHI,106
test_pel56,57,P6,1,Pelagic,Ambiguous,97
test_mhi56,57,M3,32,Ambiguous,MHI,98
test_pel57,58,P1,2,Ambiguous,Ambiguous,88
test_mhi57,58,M2,31,Ambiguous,MHI,109
test_pel58,59,P8,7,Pelagic,Ambiguous,97
test_mhi58,59,M4,33,Ambiguous,MHI,118
test_pel59,60,P8,7,Ambiguous,Ambiguous,59
test_mhi59,60,M1,34,MHI,Ambiguous,85
test_pel60,61,P2,3,Pelagic,Ambiguous,95
test_mhi60,61,M1,34,Ambiguous,Ambiguous,81
test_pel61,62,P3,6,Pelagic,Ambiguous,95
test_mhi61,62,M3,32,Ambiguous,MHI,103
test_pel62,63,P6,1,Pelagic,Ambiguous,100
test_mhi62,63,M4,33,Ambiguous,MHI,104
test_pel63,64,P7,8,Ambiguous,Ambiguous,63
test_mhi63,64,M3,32,Ambiguous,MHI,97
test_pel64,65,P7,8,Ambiguous,Ambiguous,52
test_mhi64,65,M3,32,MHI,MHI,106
test_pel65,66,P3,6,Ambiguous,Ambiguous,84
test_mhi65,66,M1,34,Ambiguous,Ambiguous,72
test_pel66,67,P7,8,Ambiguous,Ambiguous,56
test_mhi66,67,M1,34,MHI,Ambiguous,89
test_pel67,68,P5,5,Pelagic,Ambiguous,108
test_mhi67,68,M3,32,Ambiguous,MHI,98
test_pel68,69,P5,5,Pelagic,Ambiguous,112
test_mhi68,69,M3,32,Ambiguous,MHI,90
test_pel69,70,P6,1,Pelagic,Ambiguous,108
test_mhi69,70,M4,33,Ambiguous,MHI,110
test_pel70,71,P4,4,Ambiguous,Ambiguous,80
test_mhi70,71,M4,33,Ambiguous,MHI,118
test_pel71,72,P8,7,Pelagic,Ambiguous,106
test_mhi71,72,M3,32,Ambiguous,Ambiguous,87
test_pel72,73,P4,4,Pelagic,Ambiguous,106
test_mhi72,73,M3,32,Ambiguous,MHI,91
test_pel73,74,P1,2,Pelagic,Ambiguous,94
test_mhi73,74,M3,32,Ambiguous,MHI,93
test_pel74,75,P7,8,Ambiguous,Ambiguous,54
test_mhi74,75,M2,31,MHI,MHI,108
test_pel75,76,P3,6,Ambiguous,Ambiguous,64
test_mhi75,76,M2,31,Ambiguous,MHI,114
test_pel76,77,P8,7,Pelagic,Ambiguous,98
test_mhi76,77,M3,32,Ambiguous,MHI,103
test_pel77,78,P8,7,Pelagic,Ambiguous,103
test_mhi77,78,M3,32,Ambiguous,Ambiguous,89
test_pel78,79,P7,8,Ambiguous,Ambiguous,56
test_mhi78,79,M2,31,MHI,MHI,102
test_pel79,80,P5,5,Pelagic,Ambiguous,95
test_mhi79,80,M3,32,Ambiguous,MHI,98
test_pel80,81,P5,5,Pelagic,Ambiguous,90
test_mhi80,81,M4,33,Ambiguous,MHI,120
test_pel81,82,P4,4,Pelagic,Ambiguous,96
test_mhi81,82,M3,32,Ambiguous,Ambiguous,89
test_pel82,83,P5,5,Pelagic,Ambiguous,95
test_mhi82,83,M2,31,Ambiguous,MHI,113
test_pel83,84,P3,6,Pelagic,Ambiguous,93
test_mhi83,84,M2,31,Ambiguous,MHI,105
test_pel84,85,P4,4,Pelagic,Ambiguous,91
test_mhi84,85,M3,32,Ambiguous,MHI,95
test_pel85,86,P3,6,Ambiguous,Ambiguous,77
test_mhi85,86,M4,33,Ambiguous,MHI,116
test_pel86,87,P5,5,Pelagic,Ambiguous,106
test_mhi86,87,M1,34,Ambiguous,Ambiguous,81
test_pel87,88,P5,5,Pelagic,Ambiguous,100
test_mhi87,88,M3,32,Ambiguous,MHI,104
test_pel88,89,P3,6,Ambiguous,Ambiguous,79
test_mhi88,89,M4,33,Ambiguous,MHI,116
test_pel89,90,P7,8,Ambiguous,Ambiguous,59
test_mhi89,90,M3,32,MHI,MHI,108
test_pel90,91,P5,5,Pelagic,Ambiguous,97
test_mhi90,91,M4,33,Ambiguous,MHI,120
test_pel91,92,P6,1,Pelagic,Ambiguous,105
test_mhi91,92,M1,34,Ambiguous,Ambiguous,76
test_pel92,93,P3,6,Ambiguous,Ambiguous,66
test_mhi92,93,M2,31,Ambiguous,MHI,97
test_pel93,94,P7,8,Ambiguous,Ambiguous,59
test_mhi93,94,M4,33,MHI,MHI,112
test_pel94,95,P3,6,Ambiguous,Ambiguous,58
test_mhi94,95,M2,31,MHI,MHI,109
test_pel95,96,P8,7,Pelagic,Ambiguous,100
test_mhi95,96,M2,31,Ambiguous,MHI,109
test_pel96,97,P4,4,Pelagic,Ambiguous,103
test_mhi96,97,M1,34,Ambiguous,Ambiguous,76
test_pel97,98,P1,2,Pelagic,Ambiguous,94
test_mhi97,98,M2,31,Ambiguous,MHI,105
test_pel98,99,P6,1,Pelagic,Ambiguous,101
test_mhi98,99,M4,33,Ambiguous,MHI,104
test_pel99,100,P4,4,Pelagic,Ambiguous,90
test_mhi99,100,M3,32,Ambiguous,MHI,108
